title,company,location,job_type,salary
Duales Studium Data Science und KI (w|m|d),ADAC,München,,
Data & BI Analyst (m/w/d),DHL Express,"Schkeuditz, bundesweit",Teilweise Home-Office,42.000 - 63.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst CRM (m/w/d),Gebr. Heinemann SE & Co. KG,Hamburg,,44.395 - 68.085 €/Jahr  (geschätzt für Vollzeit)
Data Analyst E-Commerce (m/w/d),Gebr. Heinemann SE & Co. KG,Hamburg,,41.443 - 66.260 €/Jahr  (geschätzt für Vollzeit)
Senior Full-Stack Data Analytics/Data Science Expert*in im Competence Center Digital Accelerator im Mercedes-Benz Management Consulting (d/m/w/x),Mercedes-Benz AG,Stuttgart,Teilweise Home-Office,
Data Analyst - BI Specialist (w/m/d),EGGER – Mehr aus Holz,St. Johann in Tirol,,47.000 - 71.000 €/Jahr  (geschätzt für Vollzeit)
Full-Stack Data Analytics/Data Science Expert im Competence Center Digital Accelerator (d/m/w/x),Mercedes-Benz AG,Stuttgart,,
(Junior) Data Analyst (w/m/d),MSR Consulting Group GmbH,Köln,Teilweise Home-Office,40.000 - 51.000 €/Jahr  (geschätzt für Vollzeit)
Praktikum Forschung & Entwicklung – Data Analyst & Data Enthusiast in Künzelsau,Würth Deutschland,Künzelsau,Teilweise Home-Office,
Data Analyst (m/w/d),AVAT Automation GmbH,Tübingen,Teilweise Home-Office,47.200 - 74.600 €/Jahr  (geschätzt für Vollzeit)
Dual Study Program Data Science B.Sc./M.Sc. (m/f/x) | 01.09.2025,tesa SE,"Hamburg, Norderstedt",Teilweise Home-Office,
BI Data Analyst (m/w/d),HÄVG Hausärztliche Vertragsgemeinschaft AG,Köln,,48.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
Trainee (m/w/d) Sales Data Analyst,Mobilize Financial Services,Neuss,Teilweise Home-Office,
Data Analyst – Pricing & Product Analytics (w/m/d),ING Deutschland,Frankfurt am Main,,56.000 - 79.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst/-in (w/m/d) im Referat „Basisregister für Unternehmen-Grundsatz- und Querschnitts­aufgaben“ (I12),Statistisches Bundesamt,Bonn,Teilweise Home-Office,4.629 - 6.635 €/Monat  (geschätzt für Vollzeit)
Data Analyst (m/w/d) Telekommunikation,Seven Principles Solutions & Consulting GmbH,"Köln, Ratingen bei Düsseldorf",Teilweise Home-Office,43.000 - 62.000 €/Jahr  (geschätzt für Vollzeit)
IT Architekt / Business Data Analyst (w|m|d),zeb,"Berlin, Frankfurt am Main, Hamburg, München, Münster, Wien",Teilweise Home-Office,45.000 - 77.000 €/Jahr  (geschätzt für Vollzeit)
Junior Consultant Data Science Telecommunication & Media (m/w/d),Sopra Steria,bundesweit,Teilweise Home-Office,50.000 - 59.000 €/Jahr  (geschätzt für Vollzeit)
(Junior) Data Analyst / Data-Driven Marketing Manager (m/w/d),7days Beteiligungs GmbH,Lotte,Teilweise Home-Office,38.000 - 59.000 €/Jahr  (geschätzt für Vollzeit)
Business Intelligence und Data Analyst (w/m/d),GETEC Energie GmbH,Hannover,Teilweise Home-Office,47.108 - 73.390 €/Jahr  (geschätzt für Vollzeit)
Praktikant Data Science im Bereich prüfungsnahe Beratung / Quants (Financial Services) (w/m/d),EY Deutschland,Frankfurt/Main,Teilweise Home-Office,
Data Analyst / Vertriebscontroller (m/w/d),die Bayerische,München,Teilweise Home-Office,
Data Scientist/Business Analyst (m/w/d),E.DIS Netz GmbH,Fürstenwalde/Spree,Teilweise Home-Office,52.000 - 76.000 €/Jahr  (geschätzt für Vollzeit)
Data Analyst / Data Scientist (m/w/d),VR Bank Rhein Neckar eG,Mannheim,,51.000 - 82.000 €/Jahr  (geschätzt für Vollzeit)
Mobility Data Analyst (w/m/d),Hamburger Hochbahn AG,Hamburg,Teilweise Home-Office,
Data Analyst – Advertiser Intelligence,trivago N.V.,Düsseldorf,Teilweise Home-Office,51.000 - 69.000 €/Jahr  (geschätzt für Vollzeit)
Business / Data Analyst (m/w/d) Energiewirtschaft,CHECK24,Düsseldorf,Teilweise Home-Office,49.000 - 69.000 €/Jahr  (geschätzt für Vollzeit)
Operations & Quality Data Analyst,SGL Carbon,Bonn,Teilweise Home-Office,49.000 - 64.000 €/Jahr  (geschätzt für Vollzeit)
Praktikum im Ressort Marketing als Data Analyst (6 Monate),TARGOBANK,Düsseldorf,,
Data Analyst (w/m/d),Rhenus Group,Holzwickede,,49.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
Marketing Data Analyst – Business Banking (w/m/d),ING Deutschland,"Frankfurt am Main, Berlin",,56.000 - 85.000 €/Jahr  (geschätzt für Vollzeit)
Datenanalyst / Data Analyst Risikomanagement (w/m/d),parcIT GmbH,Köln,Teilweise Home-Office,53.000 - 79.000 €/Jahr  (geschätzt für Vollzeit)
Werkstudent (w/m/d) - Data Analyst / Forecasting,1&1,Zweibrücken,Teilweise Home-Office,
Data Analyst (m/w/d),Brunel GmbH,Karlsruhe,,1 - 1 €/Jahr  (geschätzt für Vollzeit)
Data Analyst (w/m/d) in der Energiebranche,Robert Half,München,Teilweise Home-Office,50.000 - 63.000 €/Jahr  (geschätzt für Vollzeit)
Product Owner - Data Science / Machine Learning (f/m/x),ZEISS,München,,
Product Data Science Managers,Shopify,Remote - Global,,
Lead Consultant Data Science / AI (m/w/d),Materna Information & Communications SE,"Dortmund, Dresden, Düsseldorf, Frankfurt, Hamburg, Köln, Stuttgart",Teilweise Home-Office,57.000 - 91.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Business & Data Analyst (w/m/d),freenet DLS GmbH,Hamburg,Teilweise Home-Office,55.000 - 79.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Data Analyst mit Schwerpunkt BI (Power BI) (w/m/d) – Standort Köln,Semdor Pharma Group GmbH,Köln,Teilweise Home-Office,60.000 - 85.000 €/Jahr  (geschätzt für Vollzeit)
Leitung Heilbronn Data Science Center (m/w/d) (CIT2024-69),Technische Universität München,Heilbronn,Teilweise Home-Office,76.000 - 100.000 €/Jahr  (geschätzt für Vollzeit)
Business Relationship Manager BI and Data Science (m/w/d),Vaillant Group Business Services GmbH,Remscheid,Teilweise Home-Office,75.000 - 98.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Data Analyst (m/w/d),Deichmann SE,Mülheim an der Ruhr,,
Senior Data Analyst (m/w/d),Hamburger Sparkasse,Hamburg,Teilweise Home-Office,67.000 - 89.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Data Analyst (m/w/d) Data Analytics,SENEC GmbH,"Leipzig, Köln, Italien",Teilweise Home-Office,42.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) Marketing Data Analyst (Mensch*),Liftstar GmbH,Köln,Teilweise Home-Office,
Senior Data Analyst (m/w/d),Aroundhome,Berlin,Teilweise Home-Office,
Senior Data Warehouse Entwickler mit Data-Analyst Expertise (m/w/d),Bundesrepublik Deutschland - Finanzagentur GmbH,Frankfurt am Main,Teilweise Home-Office,61.000 - 82.000 €/Jahr  (geschätzt für Vollzeit)
(Junior) Machine Learning Engineer AI Forecasting (m/w/d),Schwarz Corporate Solutions,Heilbronn,,55.000 - 77.000 €/Jahr  (geschätzt für Vollzeit)
Senior Workforce Planning Consultant (f/m/x),ZEISS,"München, Berlin",,
Masterarbeit: Schnelleres Erkennen unbekannter Gegenstände unter Wasser dank Few Shot Learning (m/w/d),ATLAS ELEKTRONIK GmbH,Bremen,,
Data Scientist (m/w/d),PRODYNA SE,"Frankfurt am Main, Berlin, Hamburg, Düsseldorf, München, Stuttgart",,57.000 - 79.000 €/Jahr  (geschätzt für Vollzeit)
(Junior) Datenbank- und Anwendungsentwickler (m/w/d),Rheinmetall Landsysteme GmbH,"Unterlüß bei Celle, Hamburg, Kassel",Teilweise Home-Office,49.000 - 88.000 €/Jahr  (geschätzt für Vollzeit)
Corporate Auditor (f/m/x),ZEISS,Oberkochen (Baden-Württemberg),,
Data Scientist (m/w/d),BayWa r.e. Energy Trading GmbH,Leipzig,Teilweise Home-Office,41.000 - 62.000 €/Jahr  (geschätzt für Vollzeit)
(Senior) SAP AI Consultant (m/w/d),Arvato Systems GmbH,Gütersloh,Teilweise Home-Office,58.000 - 84.000 €/Jahr  (geschätzt für Vollzeit)
Senior Consultant KI und Digitalisierung,GP JOULE Consult GmbH & Co. KG,"Berlin, Flensburg, Augsburg, Hamburg, Buttenwiesen, Reußenköge",Teilweise Home-Office,48.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
Data Scientist (m/w/d),ACONEXT,Fellbach bei Stuttgart,Teilweise Home-Office,61.000 - 85.000 €/Jahr  (geschätzt für Vollzeit)
Developer Data & AI (m/w/x),Arvato SE,Gütersloh,Teilweise Home-Office,55.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Promotion Vorentwicklung von Außenzahnradeinheiten (w/m/div.),Bosch Rexroth,Nürnberg,Teilweise Home-Office,
Data Platform Engineer (m/f/d),Liebherr-Digital Development Center GmbH,Ulm,,50.000 - 70.000 €/Jahr  (geschätzt für Vollzeit)
AI Software Engineer (m/w/d),PRODYNA SE,"Frankfurt am Main, Berlin, Hamburg, Düsseldorf, München, Stuttgart",,58.000 - 83.000 €/Jahr  (geschätzt für Vollzeit)
Teamassistenz (w/m/d),Albert-Ludwigs-Universität Freiburg,Freiburg,,35.000 - 44.000 €/Jahr  (geschätzt für Vollzeit)
Agile Test Automation Engineer (f/m/d),1&1 Mail & Media,München,Teilweise Home-Office,58.000 - 71.000 €/Jahr  (geschätzt für Vollzeit)
Cloud Software Engineer - IoT & Data Streaming for AI (m/w/d) (m/f/d),Schwarz Corporate Solutions,Heilbronn,,
Werkstudent/Praktikant/Abschlussarbeit im Betrieb Prozessdatentechnik (m/w/d)*,Schleswig-Holstein Netz GmbH,Rendsburg,Teilweise Home-Office,
Data Engineer (m/w/d) Datenarchitektur und ETL-Entwicklung,Diehl Defence GmbH & Co. KG,Röthenbach a. d. Pegnitz / Metropolregion Nürnberg,,52.000 - 72.000 €/Jahr  (geschätzt für Vollzeit)
Werkstudent:in im Bereich Wirtschaftsinformatik (w/m/d),Berliner Wasserbetriebe,Berlin,,14.118 - 14.118 €/Jahr  (geschätzt für Vollzeit)
Sachbearbeiter/innen in der IT-Qualitäts­sicherung und Automation (m/w/d),Bundeszentralamt für Steuern,Bonn,Teilweise Home-Office,4.032 - 5.975 €/Monat  (geschätzt für Vollzeit)
AI Cloud Engineer,Hannover Rück SE,Hannover,Teilweise Home-Office,59.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)
"W2-Professur (m/w/d) für Allgemeine BWL, insbesondere digitales Marketing",Hochschule für Technik und Wirtschaft des Saarlandes,Saarbrücken,,6.813 - 7.589 €/Monat  (geschätzt für Vollzeit)
Praktikum Data Analytics (m/w/d),Studyflix GmbH,"Augsburg,München,Nürnberg,Frankfurt,Karlsruhe,Stuttgart,Dresden,Dortmund,Hamburg,Berlin,Home-Office",Teilweise Home-Office,
Software Developer AI (m/w/d),CANCOM SE,"Berlin, Erfurt, Frankfurt am Main, Hamburg, Hannover, Köln, Leipzig, München, Nürnberg, Stuttgart",Teilweise Home-Office,49.000 - 81.000 €/Jahr  (geschätzt für Vollzeit)
DevOps Engineer (m/w/d) (Schwerpunkt Infrastruktur & DevOps-Toolketten),InGef - Institut für angewandte Gesundheitsforschung Berlin GmbH,Berlin,Teilweise Home-Office,
Versicherungsmathematiker als Aktuar / Aktuarin (w/m/d),KPMG AG Wirtschaftsprüfungsgesellschaft,"München, Köln, Frankfurt, Hamburg, Düsseldorf, Hannover, Ulm, Stuttgart",Teilweise Home-Office,
Praktikum im Bereich Product Management für die Entwicklung digitaler Ladedienste ab März 2025,Mercedes-Benz AG,Sindelfingen,Teilweise Home-Office,
Trainee IT (w/m/d) Anwendungsbetreuung im Kundenmanagement und Abrechnung,Berliner Stadtreinigungsbetriebe (BSR),Berlin,Teilweise Home-Office,
Wissenschaftlicher Mitarbeiter (m/w/d) für die Datenerhebung und -auswertung,DMT-Gesellschaft für Lehre und Bildung mbH,Bochum,,48.000 - 64.000 €/Jahr  (geschätzt für Vollzeit)
IT-Consultant (w/m/d) Public Sector,PD - Berater der öffentlichen Hand GmbH,"Berlin, Düsseldorf, Frankfurt am Main, Hamburg, Nürnberg, Stuttgart, Wiesbaden",Teilweise Home-Office,50.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Data Engineer (m/w/d),Deutsche Post Adress GmbH & Co. KG,Gütersloh,Teilweise Home-Office,48.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
Senior Specialist/Data Scientist OSS Analytics in Voll- und Teilzeit (w/m/d),TARGOBANK,Duisburg,,62.000 - 84.000 €/Jahr  (geschätzt für Vollzeit)
Werkstudententätigkeit im Bereich Potenziale und Grenzen von KI in der Fahrzeug- und Showcarentwicklung bei RD/VVR ab März 2025,Mercedes-Benz AG,Sindelfingen,Teilweise Home-Office,
Produktingenieur (m/w/d) – Batterie-Tooling für Elektrobusse eMobility Consulting Offer Management,Daimler Buses GmbH,Mannheim,Teilweise Home-Office,64.000 - 82.000 €/Jahr  (geschätzt für Vollzeit)
Machine Learning Platform Engineers,Shopify,Remote - Global,,
Data Scientist / Engineer (w/m/d) Digital Solutions,Stadler Signalling Deutschland GmbH,"Braunschweig, Berlin",Teilweise Home-Office,48.000 - 75.000 €/Jahr  (geschätzt für Vollzeit)
Praktikum Testmanagement im Bereich e-Drive Testing ab März 2025,Mercedes-Benz AG,Sindelfingen,Teilweise Home-Office,
(Senior) Inhouse Consultant Microsoft Business Intelligence (m/w/d),DPD Deutschland GmbH,Aschaffenburg,Teilweise Home-Office,56.000 - 80.000 €/Jahr  (geschätzt für Vollzeit)
Data Scientist for Cancer Research (PhD Position) in the field of Large Language Models,Deutsches Krebsforschungszentrum DKFZ,Heidelberg,Teilweise Home-Office,
Werkstudent - KI Entwicklung (w/m/d),LÄPPLE Automotive GmbH,Heilbronn,,31.000 - 43.000 €/Jahr  (geschätzt für Vollzeit)
"Duales Studium Informatik/Informationstechnik, Bachelor of Science, Mercedes-Benz AG, Werk Berlin, Studienbeginn 1. Oktober 2025, (w/m/d), im Campusmodell mit Stuttgart",Mercedes-Benz AG,Berlin,Teilweise Home-Office,
Expert*in für KI-Prüfverfahren,Fraunhofer-Institut für Intelligente Analyse- und Informationssysteme IAIS,Sankt Augustin,,2.780 - 4.680 €/Monat  (geschätzt für Vollzeit)
Data Insights- und Marketinganalyst (m/w/d),meinestadt.de,Neckarsulm,,50.000 - 65.000 €/Jahr  (geschätzt für Vollzeit)
Medizinische Dokumentationsassistenten / Tumordokumentare (m/w/d),Krankenhaus Nordwest,Frankfurt am Main,Teilweise Home-Office,37.000 - 55.000 €/Jahr  (geschätzt für Vollzeit)
Junior Internal Auditor / Revisor - Datenanalyse (m/w/d),Kaufland,Ansbach,,53.000 - 88.000 €/Jahr  (geschätzt für Vollzeit)
Senior Machine Learning Ops Expert (m/w/d),BWI GmbH,"Berlin, Frankfurt, Hamburg, München, Nürnberg, Bonn, Leipzig, bundesweit",Teilweise Home-Office,55.000 - 88.000 €/Jahr  (geschätzt für Vollzeit)
Senior Consultant (m/w/d) für Künstliche Intelligenz und Digitalisierung,meinestadt.de,Neckarsulm,,62.000 - 82.000 €/Jahr  (geschätzt für Vollzeit)
Data Analytics Internship in Finance (f/m/x) starting April 2025,Daimler Truck AG,Leinfelden-Echterdingen,,
Controller BI & Financials (m/w/d),H. & J. Brüggen KG,Lübeck,Teilweise Home-Office,3.400 - 6.000 €/Monat  (geschätzt für Vollzeit)
Search Relevance Engineers,Shopify,Remote - Global,,
Agile Test Automation Engineer (f/m/d),1&1 Mail & Media,Karlsruhe,Teilweise Home-Office,56.000 - 69.000 €/Jahr  (geschätzt für Vollzeit)
Werkstudent | E-Commerce Analytics (w/m/d),Otto (GmbH & Co KG),Hamburg,Teilweise Home-Office,
